latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.656,-38.327,302.5,1.3,1.1,2016-12-13,0055,T,49,6.0NRT,287.6,6.9,N
-9.696,-35.827,322,1,1,2016-12-13,0055,T,100,6.0NRT,296.5,17.7,N
-9.698,-35.836,307.1,1,1,2016-12-13,0055,T,69,6.0NRT,296,5.5,N
-9.679,-36.36,320.6,1,1,2016-12-13,0055,T,100,6.0NRT,295.6,17.5,N
-9.68,-36.37,311.3,1,1,2016-12-13,0055,T,81,6.0NRT,295.7,9.3,N
-9.493,-35.693,309.3,1,1,2016-12-13,0055,T,76,6.0NRT,294.9,7.4,N
-9.441,-36.041,321.8,1,1,2016-12-13,0055,T,100,6.0NRT,295.5,18.3,N
-9.443,-36.05,323.3,1,1,2016-12-13,0055,T,100,6.0NRT,295.3,19.9,N
-9.387,-35.786,309.8,1,1,2016-12-13,0055,T,78,6.0NRT,294.7,8.2,N
-9.388,-35.795,325.9,1,1,2016-12-13,0055,T,100,6.0NRT,295.1,23,N
-9.361,-35.734,312.2,1,1,2016-12-13,0055,T,84,6.0NRT,294.9,9.8,N
-9.382,-36.009,306.6,1,1,2016-12-13,0055,T,67,6.0NRT,295,6,N
-9.265,-35.579,308.7,1,1,2016-12-13,0055,T,75,6.0NRT,295,6.9,N
-9.256,-35.58,314,1,1,2016-12-13,0055,T,88,6.0NRT,294.7,10.7,N
-9.258,-35.589,305.3,1,1,2016-12-13,0055,T,53,6.0NRT,294.4,4.5,N
-9.219,-35.706,307.7,1,1,2016-12-13,0055,T,72,6.0NRT,294.4,6.5,N
-9.221,-35.715,308.5,1,1,2016-12-13,0055,T,75,6.0NRT,294.3,7.1,N
-9.161,-35.619,305.3,1,1,2016-12-13,0055,T,64,6.0NRT,293.2,5.9,N
-9.08,-35.572,311.7,1,1,2016-12-13,0055,T,83,6.0NRT,293.9,9.6,N
