latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-16.991,-50.093,315,1.4,1.2,2016-10-18,01:45,T,87,5.0       ,293,25.7
-11.201,-68.304,311.2,1.4,1.2,2016-10-18,03:25,T,74,5.0       ,294.4,20.3
5.248,-70.286,305.7,1.8,1.3,2016-10-18,03:25,T,26,5.0       ,288.5,22.3
-8.665,-47.192,307.4,1,1,2016-10-18,01:45,T,54,5.0       ,294.4,9.9
-8.695,-47.717,305.4,1,1,2016-10-18,01:45,T,30,5.0       ,293.7,8.2
-8.748,-48.087,307.3,1,1,2016-10-18,01:45,T,53,5.0       ,296,8
-8.738,-48.085,324.5,1,1,2016-10-18,01:45,T,100,5.0       ,296.7,27.7
-7.974,-43.934,313.6,1.5,1.2,2016-10-18,01:45,T,82,5.0       ,293.4,27.2
-8.198,-45.753,308,1.1,1.1,2016-10-18,01:45,T,44,5.0       ,296.6,10.7
-8.042,-45.175,315.5,1.2,1.1,2016-10-18,01:45,T,88,5.0       ,294.6,23.1
-8.04,-45.169,308.3,1.2,1.1,2016-10-18,01:45,T,60,5.0       ,294.2,14.2
-8.042,-45.181,307.8,1.2,1.1,2016-10-18,01:45,T,56,5.0       ,293.7,13.6
-7.635,-42.784,311.7,1.8,1.3,2016-10-18,01:45,T,76,5.0       ,296.5,31
-8.213,-46.935,306.2,1,1,2016-10-18,01:45,T,42,5.0       ,295.6,8
-7.879,-45.595,308.9,1.2,1.1,2016-10-18,01:45,T,64,5.0       ,297.5,10.6
-7.79,-45.55,315.3,1.2,1.1,2016-10-18,01:45,T,88,5.0       ,296.5,20.2
-7.397,-43.545,309.9,1.6,1.3,2016-10-18,01:45,T,69,5.0       ,298.7,17.9
-7.148,-42.526,310.3,2,1.4,2016-10-18,01:45,T,70,5.0       ,295.6,29
-7.98,-48.126,321.1,1,1,2016-10-18,01:45,T,100,5.0       ,292.7,23.5
-7.507,-45.633,314.9,1.2,1.1,2016-10-18,01:45,T,86,5.0       ,296.2,19.9
-7.494,-45.613,324.9,1.2,1.1,2016-10-18,01:45,T,100,5.0       ,297.3,34.7
